id,prediction,rationale
95,1,No decisive contradictions found
136,1,No decisive contradictions found
59,1,No decisive contradictions found
60,1,No decisive contradictions found
124,1,No decisive contradictions found
111,1,No decisive contradictions found
135,1,No decisive contradictions found
27,1,No decisive contradictions found
110,1,No decisive contradictions found
42,0,Multiple backstory claims contradicted
56,1,No decisive contradictions found
80,0,Multiple backstory claims contradicted
28,1,No decisive contradictions found
101,1,No decisive contradictions found
91,1,No decisive contradictions found
24,1,No decisive contradictions found
119,0,Multiple backstory claims contradicted
93,1,No decisive contradictions found
72,0,Multiple backstory claims contradicted
16,1,No decisive contradictions found
30,1,No decisive contradictions found
97,1,No decisive contradictions found
22,1,No decisive contradictions found
53,0,Multiple backstory claims contradicted
58,1,No decisive contradictions found
81,1,No decisive contradictions found
47,1,No decisive contradictions found
7,1,No decisive contradictions found
121,1,No decisive contradictions found
129,1,No decisive contradictions found
51,0,Multiple backstory claims contradicted
127,1,No decisive contradictions found
133,0,Multiple backstory claims contradicted
52,1,No decisive contradictions found
114,1,No decisive contradictions found
2,1,No decisive contradictions found
33,1,No decisive contradictions found
15,1,No decisive contradictions found
82,0,Multiple backstory claims contradicted
37,0,Multiple backstory claims contradicted
3,1,No decisive contradictions found
103,1,No decisive contradictions found
94,1,No decisive contradictions found
85,1,No decisive contradictions found
21,1,No decisive contradictions found
49,1,No decisive contradictions found
140,1,No decisive contradictions found
64,1,No decisive contradictions found
131,1,No decisive contradictions found
61,1,No decisive contradictions found
86,1,No decisive contradictions found
38,1,No decisive contradictions found
132,1,No decisive contradictions found
77,1,No decisive contradictions found
70,0,Multiple backstory claims contradicted
115,1,No decisive contradictions found
78,0,Multiple backstory claims contradicted
87,0,Multiple backstory claims contradicted
75,0,Multiple backstory claims contradicted
44,0,Multiple backstory claims contradicted
